           k            Ek                       w                       |<f||O||0>|^2
           1  0.10317161143886469        2.3277512637695690        4.2923643544334190E-006
           2  0.52220862927659595        2.7467882816073006        5.1755556852493209E-006
           3   1.3317042447716676        3.5562838971023720        3.4631874241467763E-006
           4   2.5412283289042485        4.7658079812349534        2.0177249972016329E-006
           5   4.1521944738574925        6.3767741261881969        1.1549796712255460E-006
           6   6.1650350603654429        8.3896147126961473        6.7694016057811536E-007
           7   8.5811628381417098        10.805742490472415        4.1099319239194511E-007
           8   11.401758361347319        13.626338013678023        2.5871227442340155E-007
           9   14.629368732354619        16.853948384685324        1.6826838501125935E-007
          10   18.265907035818515        20.490486688149218        1.1259578287555725E-007
          11   22.314978491774756        24.539558144105460        7.7138130394635278E-008
          12   26.779160163919091        29.003739816249794        5.3863056989445499E-008
          13   31.663213159121455        33.887792811452158        3.8155594401423549E-008
          14   36.970506422107654        39.195086074438358        2.7297231442578272E-008
          15   42.707280708639423        44.931860360970127        1.9628459493503633E-008
          16   48.878056514483518        51.102636166814221        1.4114366102157559E-008
          17   55.491145676944633        57.715725329275337        1.0093134156952161E-008
          18   62.552846869908713        64.777426522239423        7.1312363157540406E-009
          19   70.074386058205675        72.298965710536379        4.9416952610928751E-009
          20   78.064642114361888        80.289221766692592        3.3264225661785288E-009
          21   86.538635613387555        88.763215265718259        2.1491229772929495E-009
          22   95.508485066197167        97.733064718527871        1.3083756708845800E-009
          23   104.99352194519533        107.21810159752603        7.2980998702707777E-010
          24   115.00923789827468        117.23381755060538        3.5305859268129432E-010
          25   125.57915939957358        127.80373905190429        1.3095496417186186E-010
          26   136.72168535752189        138.94626500985260        2.3947162911070228E-011
          27   148.46394275831216        150.68852241064286        8.3405671156325552E-013
          28   160.82644290230951        163.05102255464021        3.6858552100067509E-011
          29   173.83915563376695        176.06373528609765        1.1340862612111715E-010
          30   187.52376364493159        189.74834329726229        2.1771889141559639E-010
          31   201.91229958965542        204.13687924198612        3.4105678974730566E-010
          32   217.02673429125863        219.25131394358934        4.7926699766361028E-010
          33   232.90115787626374        235.12573752859444        6.2978199645460162E-010
          34   249.55884321895607        251.78342287128677        7.9267585609777532E-010
          35   267.03989375881855        269.26447341114925        9.6709265743680125E-010
          36   285.37486122630645        287.59944087863715        1.1535638181076775E-009
          37   304.61624755750393        306.84082720983463        1.3523768588801020E-009
          38   324.79827194631815        327.02285159864886        1.5697523256333949E-009
          39   345.95939751798551        348.18397717031621        1.8192167693377054E-009
          40   368.06668975413612        370.29126940646682        2.1245836159585541E-009
          41   391.01308800481519        393.23766765714589        2.4972306030758333E-009
          42   414.50869508133405        416.73327473366476        2.8371364880240627E-009
          43   438.30637247357998        440.53095212591069        2.7461471564433275E-009
          44   462.83500456524507        465.05958421757578        1.8958454243759667E-009
          45   489.47522737344940        491.69980702578010        9.0179665215103437E-010
          46   519.20181460761114        521.42639425994184        3.3541654250210881E-010
          47   552.37820401317970        554.60278366551040        1.0909955224834139E-010
          48   589.42121741811843        591.64579707044913        3.1023432473640591E-011
          49   631.32478856053842        633.54936821286913        7.4344702542423550E-012
          50   680.25634708573875        682.48092673806946        1.2886852524820097E-012
          51   742.06200821727896        744.28658786960966        1.4102517665429539E-013
